未经 critic 评审 —— r74 · 源电平敏感性扫描(把常数变成曲线)  [L2/宿主仿真]
deps: nhs.py@31decc8e8d07e085 clrig.py@8ad47ce8d260dd18
⚠ 算力截断(显式):T_OBS=6s 单档,不做 F36 阶梯 ⇒ ⛔ 本轮数不得当绝对值引用,只作跨档比较
⚠ 扫源电平 = **三个绝对门同时平移**(T_low/T_low_gr/T_panic)⇒ 臂 T 用于拆开

 源dBFS  T60  sd |       m0ΔMSG_有duck   ΔMSG_消融 |       过门率      挂陷    top1  N5_howl
   -70  0.2   0 |   -11.85      5.00      1.50 |     5.65%       3    True       35
   -70  0.2   1 |   -12.93      5.00      2.00 |     5.87%       3    True       66
   -70  0.2   2 |   -13.08      6.00      5.00 |     5.70%       3    True       26
   -70  0.5   0 |   -12.49      0.00      0.00 |     0.00%       0   False        0
   -70  0.5   1 |   -13.75      0.00      0.00 |     0.00%       0   False        0
   -70  0.5   2 |   -12.52      6.00      2.00 |    12.98%       4    True      135

   -60  0.2   0 |   -11.85      1.50      1.50 |     1.17%       1    True       19
   -60  0.2   1 |   -12.93      2.50      2.00 |     3.02%       2    True       26
   -60  0.2   2 |   -13.08      1.50      1.50 |     1.60%       1    True       20
   -60  0.5   0 |   -12.49      3.00      0.50 |     4.70%       1   False       36
   -60  0.5   1 |   -13.75      4.00      0.50 |     5.57%       2   False       54
