未经 critic 评审 —— r76 固定 G 表(拆效应 A / 效应 B)  [L2/宿主仿真]  预注册 = PREREG_r76.txt
臂 N 单臂:NHS 自选 / duck 不消融 / prefer_unnotched=False / T_low=−45 / T_low_gr=-65 / T_panic=-6
工作点:cal_offset_db=0.0 / T_OBS=6s / bw_oct=1/5 / f_cut=8000 / frame=64 / 8 槽全空 / G 钉死在 anchor+[0.0, 1.0, 2.0, 4.0]
⛔ G 固定 ⇒ 本表【不含】ΔMSG(ΔMSG 是扫描终点量,固定 G 下无定义)

   ΔG  T60  sd   src  N1_cand  N2_lvl      过门率    挂陷   top1  PANIC   lp_rms    起振
   +0  0.2   0   -60     6000       0    0.00%     0  False      0   -59.30 False
   +0  0.2   0   -50     6000       0    0.00%     0  False      0   -49.30 False
   +0  0.2   0   -40     6000      68    1.13%     1   True      0   -39.35 False
   +0  0.2   0   -30     6000     423    7.05%     1   True      0   -29.47 False
   +0  0.2   0   -20     6000    5977   99.62%     1   True      0   -19.47 False
   +0  0.2   0   -10     6000    5986   99.77%     1   True      0    -9.47 False

   +1  0.2   0   -60     6000      49    0.82%     1   True      0   -39.92 False
   +1  0.2   0   -50     6000      49    0.82%     1   True      0   -39.47 False
   +1  0.2   0   -40     6000     359    5.98%     1   True      0   -37.39 False
   +1  0.2   0   -30     6000     533    8.88%     1   True      0   -29.18 False
   +1  0.2   0   -20     6000    5977   99.62%     1   True      0   -19.18 False
   +1  0.2   0   -10     6000    5986   99.77%     1   True      6    -9.41 False

   +2  0.2   0   -60     3055     882   28.87%     0  False    302   407.73  True
   +2  0.2   0   -50     6000      90    1.50%     2   True      0   -44.13 False
   +2  0.2   0   -40     6000    1348   22.47%     3   True      0   -38.33 False
   +2  0.2   0   -30     6000    1948   32.47%     4   True      0   -28.94 False
   +2  0.2   0   -20     6000    5977   99.62%     4   True      0   -18.94 False
   +2  0.2   0   -10     6000    5986   99.77%     4   True      4    -9.00 False

   +4  0.2   0   -60     6000     355    5.92%     5   True      5   -20.17 False
   +4  0.2   0   -50     6000     448    7.47%     5   True      8   -20.02 False
   +4  0.2   0   -40     6000    1691   28.18%     5   True     34    -4.00 False
   +4  0.2   0   -30     6000    2543   42.38%     6   True     13   -17.93 False
   +4  0.2   0   -20     6000    5980   99.67%     5   True     26   -13.25 False
   +4  0.2   0   -10     6000    5986   99.77%     5   True     49    -6.40 False

   +0  0.2   1   -60     6000       0    0.00%     0  False      0   -58.65 False
   +0  0.2   1   -50     6000       0    0.00%     0  False      0   -48.65 False
   +0  0.2   1   -40     6000     455    7.58%     1   True      0   -39.55 False
